Date,Ticker,Type,Entry,Exit,PnL_%,PnL_USD,Capital
2021-02-01,ICICIBANK.NS,Equity 1x2 Spread,528.5197143554688,589.452425884442,-2.5,-277.56,138824.63
2021-02-10,BTC-USD,Crypto 1.5x,46196.46484375,43886.6416015625,-7.86,-872.93,137951.7
2021-02-15,ETH-USD,Crypto 1.5x,1814.10986328125,1723.4043701171875,-7.86,-867.44,137084.26
2021-02-19,BTC-USD,Crypto 1.5x,44918.18359375,51438.74140625,21.41,2363.36,139447.62
2021-02-22,ETH-USD,Crypto 1.5x,1779.791015625,1690.80146484375,-7.86,-861.99,138585.64
2021-02-22,BTC-USD,Crypto 1.5x,55888.1328125,53093.726171874994,-7.86,-876.85,137708.79
2021-02-23,ETH-USD,Crypto 1.5x,1781.992919921875,1692.8932739257812,-7.86,-865.91,136842.88
2021-03-03,^NSEI,Equity 1x2 Spread,15313.4501953125,15245.599609375,-0.12,-13.16,136829.72
2021-03-18,ETH-USD,Crypto 1.5x,1799.166259765625,1709.2079467773438,-7.86,-860.39,135969.33
2021-03-24,BTC-USD,Crypto 1.5x,56008.55078125,53208.123242187496,-7.86,-860.39,135108.95
2021-03-25,SOL-USD,Crypto 1.5x,14.332205772399902,13.615595483779906,-7.86,-854.98,134253.97
2021-03-30,TCS.NS,Equity 1x2 Spread,2637.7490234375,2724.52587890625,3.17,346.98,134600.95
2021-03-31,^NSEI,Equity 1x2 Spread,14910.4501953125,14690.7001953125,-0.12,-13.14,134587.81
2021-04-15,SOL-USD,Crypto 1.5x,14.779420852661133,27.818313598632812,131.97,14174.53,148762.34
2021-04-16,BTC-USD,Crypto 1.5x,55973.51171875,61572.7890625,14.65,1572.94,150335.28
2021-04-16,ICICIBANK.NS,Equity 1x2 Spread,574.8963012695312,548.3470458984375,-0.12,-12.92,150322.36
2021-04-18,ETH-USD,Crypto 1.5x,1918.362060546875,2287.785888671875,28.53,3071.39,153393.75
2021-04-18,BTC-USD,Crypto 1.5x,61572.7890625,58494.149609374996,-7.86,-945.23,152448.52
2021-05-14,^NSEI,Equity 1x2 Spread,14864.5498046875,14677.7998046875,-0.12,-14.64,152433.89
2021-05-24,TCS.NS,Equity 1x2 Spread,2702.400146484375,2658.06298828125,-0.12,-14.64,152419.25
2021-05-25,ICICIBANK.NS,Equity 1x2 Spread,593.1277465820312,630.6063279276439,2.56,312.36,152731.61
2021-06-01,^NSEI,Equity 1x2 Spread,14923.150390625,15660.75,3.94,480.15,153211.76
2021-06-07,^NSEBANK,Equity 1x2 Spread,34606.49609375,35443.23828125,2.3,280.22,153491.98
2021-06-08,SOL-USD,Crypto 1.5x,38.262332916259766,36.349216270446775,-7.86,-965.16,152526.82
2021-06-09,ICICIBANK.NS,Equity 1x2 Spread,628.9620971679688,615.2279663085938,-0.12,-14.66,152512.16
